simulation_id,mass1,mass2,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,distance,inclination,coa_phase,polarization,longitude,latitude,geocent_end_time,geocent_end_time_ns
sim_inspiral:simulation_id:1681,9.423927,1.390981,0.1317797,-0.06651863,0.07415717,-0.001970228,-0.008455408,-0.01781427,245.6629,1.548629,3.835605,5.820539,2.750839,0.2681897,1349107412,984164880
sim_inspiral:simulation_id:1714,8.162366,1.451212,-0.2771935,0.08630031,-0.106808,0.01894443,0.02180646,0.01853243,530.4973,1.1012,4.023767,2.459938,3.873954,0.4048769,1349557385,512340026
sim_inspiral:simulation_id:1748,7.551654,1.338053,-0.1436996,-0.1094287,0.03507921,0.00885303,0.03865362,-0.0259486,467.1581,2.9261,0.4821449,6.064424,2.548325,-0.850113,1349998503,813382074
sim_inspiral:simulation_id:1752,8.950309,1.487619,0.07875644,-0.4026887,-0.1581692,0.02455881,-0.03039372,-0.0003543772,373.0873,1.905104,0.7891433,0.7974538,3.746868,-1.206855,1350035154,200556754
sim_inspiral:simulation_id:1759,7.085844,1.406104,0.04069507,-0.08533116,0.1271363,0.02443177,-0.01274197,0.01781875,586.6744,2.45325,3.498574,0.3112843,1.805706,-0.6132681,1350083036,581745462
sim_inspiral:simulation_id:1776,6.132152,1.244536,-0.3081171,0.002130372,-0.00953983,0.0126899,0.02338425,0.002299538,256.4915,1.014669,0.4627452,3.307136,0.04809729,-1.321454,1350332871,640908511
sim_inspiral:simulation_id:1823,9.541647,1.555495,0.2614357,-0.01753274,0.0653279,0.005326629,-0.0142875,0.009658176,412.5745,2.296152,2.036767,4.733974,1.848514,-0.4982952,1351031722,543362200
sim_inspiral:simulation_id:1856,9.512257,1.442304,0.002030829,-0.02465126,-0.008621835,-0.003323474,0.00238514,-0.005575201,468.2858,0.6674246,3.656538,2.986221,3.570795,0.218206,1351447399,917736966
sim_inspiral:simulation_id:1868,8.170386,1.4326,0.1493813,0.2522852,0.2988407,0.04147178,0.004309355,0.0001685938,190.5012,2.5391,0.1876744,5.960235,0.08896935,-0.2949153,1351602658,370654893
sim_inspiral:simulation_id:1875,7.668014,1.455513,-0.1790449,-0.05642107,-0.1404382,0.0007415575,-0.0008404807,-0.001699057,332.3158,2.664837,1.70457,3.832632,0.5536829,-0.8440357,1351699845,299420659
sim_inspiral:simulation_id:1878,7.974476,1.529095,0.3369388,0.1222432,-0.03285526,-0.007157728,-0.006638681,0.03948922,444.3623,0.3546253,2.665673,0.1554706,2.496004,0.03754795,1351724474,291997944
sim_inspiral:simulation_id:1900,8.775824,1.254307,-0.2019427,-0.3646743,-0.09799057,0.006820833,-0.005093122,-0.02047203,275.6112,2.310542,1.750355,1.409943,0.5922296,1.052388,1352120801,113311979
sim_inspiral:simulation_id:1903,8.416656,1.665959,-0.3495143,-0.1208701,0.007702429,0.02852668,0.006012174,0.00414039,285.8372,0.9087539,4.992608,0.1122437,1.524724,-0.8569503,1352160580,205566108
sim_inspiral:simulation_id:1907,8.124937,1.385299,-0.05375358,-0.2306927,-0.3983776,-0.03150393,0.002732939,0.002884189,390.8118,0.7352747,2.992965,5.94957,0.5903864,-0.01296956,1352176613,40692338
sim_inspiral:simulation_id:1924,7.807026,1.432048,0.01704783,-0.1747348,0.03346297,0.01624578,-0.004223682,0.01568179,155.207,1.703833,1.119906,1.831113,2.139303,0.6825394,1352365750,409801475
sim_inspiral:simulation_id:1933,6.584579,1.512023,0.1020599,-0.06277728,0.3036689,0.006532212,-0.01483682,-0.01886686,102.7536,1.994663,3.456462,1.124358,1.427555,1.172096,1352465871,598430266
sim_inspiral:simulation_id:1950,9.677436,1.388625,0.1679019,0.4391667,0.04617976,-0.006198082,-0.01107643,0.008642772,338.0221,0.3600351,1.178851,4.53097,4.770217,-0.07969002,1352641523,68369469
sim_inspiral:simulation_id:1982,7.240497,1.287048,-0.008071451,0.221111,0.3791234,0.01616236,0.01850768,0.0051377,230.5374,2.619687,5.544286,2.587999,4.727263,-0.03092108,1353121895,993179274
sim_inspiral:simulation_id:2010,6.931757,1.427659,0.06847446,-0.3413054,0.3081523,0.04844289,-0.01015865,-0.004690263,279.7871,2.321542,5.751224,4.14255,2.346201,-0.6588522,1353570649,694042589
sim_inspiral:simulation_id:2019,7.939765,1.670076,0.003921396,-0.00384632,-0.0130055,-0.01950724,0.004582327,-0.01590063,361.0891,2.630749,1.43921,3.508997,0.8648729,0.5951662,1353808210,100314206
sim_inspiral:simulation_id:2024,8.043857,1.258556,0.3068207,0.03513449,-0.1532946,-0.00779022,-0.01005677,0.003104754,245.9607,2.169873,4.173725,3.092069,5.364231,0.6784226,1353876287,446095510
sim_inspiral:simulation_id:2042,7.565903,1.415619,-0.001487591,-0.2725801,0.0305216,-0.01721056,0.009690079,-0.03300105,193.7772,2.58735,0.8297148,1.998179,2.051166,-1.419677,1354141117,761677545
sim_inspiral:simulation_id:222,8.599837,1.267402,0.1507884,0.1021204,-0.0009784072,0.01567095,0.02159681,-0.01682495,262.1571,2.571779,0.09633652,5.119045,3.734708,-0.9608151,1328421692,63167181
sim_inspiral:simulation_id:237,8.482849,1.488286,-0.2203741,0.2602666,0.125868,0.001826786,0.005679631,-0.0006604553,202.9062,2.065471,2.092139,1.75047,2.039864,0.2937033,1328614226,447848948
sim_inspiral:simulation_id:247,9.325948,1.658546,0.1313175,-0.2194439,0.290976,0.006004739,-0.03912051,0.001304757,489.518,2.556565,5.984644,1.064688,1.062322,-0.8739104,1328697620,640529633
sim_inspiral:simulation_id:2054,8.572335,1.226709,0.02299755,-0.003419832,-0.161212,-0.0155977,-0.005996291,0.01241129,175.2572,2.793492,5.532119,3.951671,2.444277,0.09443784,1354343245,593352304
sim_inspiral:simulation_id:2058,8.416764,1.475021,-0.01210957,-0.422096,-0.1354589,-0.005761515,0.01921019,0.0137317,253.8532,1.403298,2.978646,3.498735,2.874226,-0.7074838,1354414020,339545356
sim_inspiral:simulation_id:2062,7.886978,1.630411,0.06184749,0.3668506,0.07835353,0.007253188,-0.04109924,-0.02741151,512.2648,0.3362078,2.395797,4.58241,3.279034,1.374179,1354449041,196071428
sim_inspiral:simulation_id:2091,9.071493,1.215709,-0.09602474,0.3909438,0.09087544,0.02071802,0.008215949,-0.03299687,203.6024,0.8612826,2.664357,0.356233,0.8923957,0.1245104,1354921772,949920824
sim_inspiral:simulation_id:2093,8.000453,1.487886,0.01906257,-0.05423351,0.142142,-0.0001624877,0.000105484,4.359729e-05,565.6882,0.7928578,3.961284,5.750985,2.910494,-0.5137196,1354937584,747221515
sim_inspiral:simulation_id:2103,8.763909,1.612237,-0.01539563,-0.02046483,0.03137226,-0.01015906,0.003560971,-0.02151495,398.8368,2.936793,2.434913,5.795794,5.136065,-0.1199367,1355001986,440765635
sim_inspiral:simulation_id:2109,8.128286,1.331324,-0.2819816,0.1978797,-0.140108,0.01399596,-0.01362321,-0.01400701,344.0022,0.9735413,4.703864,3.458164,1.894162,1.169751,1355050054,744116055
sim_inspiral:simulation_id:2113,8.937325,1.040281,0.2350603,-0.1089644,-0.09996071,0.002750717,0.007342498,0.001091698,162.0928,1.99602,4.813147,4.364889,2.76112,0.6504609,1355082528,702308694
sim_inspiral:simulation_id:2139,7.385203,1.479676,0.1098984,0.08637499,0.07210054,-0.02700535,-0.01201321,-0.03044929,350.6965,2.740164,2.82793,5.312416,5.585324,-1.358212,1355386870,89400817
sim_inspiral:simulation_id:2169,7.749456,1.296348,-0.03804148,0.08073529,0.2533386,-3.763022e-05,0.01061756,0.003435765,231.6663,2.337687,5.647637,1.972784,5.553314,0.1221202,1355970086,164490519
sim_inspiral:simulation_id:2183,7.499055,1.649451,-0.4050743,0.1123916,0.09559517,-0.01451009,0.006991095,0.03381372,141.3155,1.945458,4.122593,1.003926,3.521942,-0.7079006,1356195364,125278408
